,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
5135,11175,0,305059,4665322.0,THE FIRST STATE BANK,Abernathy,TX,79311,12/31/2016,8/17/2020,NM,402 9th,TURNER BANCSHARES INC,1,0,0,2,1,Hale,,,1/1/1909,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Lubbock,Dallas,Southern,West,0,1,www.fsbabernathy.com,1741.0,938.0,803.0,0.0,0.0,3178,1614.0,1564.0,0.0,0.0
5136,17884,0,997052,3832912.0,THE FIRST STATE BANK,Oklahoma City,OK,73112,12/31/2016,8/17/2020,NM,3030 Nw Expwy. Suite 1,FSB INVESTMENTS LLC,3,0,0,4,0,Oklahoma,36420.0,"Oklahoma City, OK",8/12/1902,7/2/1958,1/19/2012,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,www.thefirstsb.com,13501.0,3626.0,7259.0,2611.0,5.0,90449,33550.0,48148.0,8751.0,0.0
5137,15899,14147,9955,1062425.0,THE FIRST STATE BANK & TRUST CO. OF LARNED,Larned,KS,67550,12/31/2016,8/17/2020,SM,116 W. 6th St.,FIRST STATE FINANCIAL CORP,4,0,0,2,1,Pawnee,,,1/1/1896,6/26/1942,1/1/2012,Stock,0,1,FED,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,www.fusion.bank,7847.0,2068.0,4140.0,1313.0,326.0,10160,3801.0,5401.0,958.0,0.0
5138,21163,0,297631,1081239.0,THE FIRST STATE BANK OF ARCADIA,Arcadia,FL,34265,12/31/2016,8/17/2020,NM,40o N. Brevard Ave.,CREWS BANKING CORP,2,0,0,4,1,De Soto,,,7/17/1973,7/17/1973,3/31/2006,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Tampa,Atlanta,Southern,Southeast,0,1,www.crews.bank,9679.0,1956.0,4846.0,2539.0,338.0,15292,4066.0,9491.0,1046.0,689.0
5139,12098,0,630041,3584006.0,THE FIRST STATE BANK OF DONGOLA,Dongola,IL,62926,12/31/2016,8/17/2020,SM,108 Se Front St,TRI-COUNTY HOLDINGS INC,2,0,0,8,1,Union,,,5/1/1906,1/1/1934,1/1/2012,Stock,0,0,FED,DIF,Chicago,CHICAGO,Mount Vernon,St. louis,Central,Central,0,1,,4307.0,847.0,1894.0,996.0,570.0,2809,308.0,216.0,1857.0,428.0
5140,17661,0,864855,,THE FIRST STATE BANK OF HEALY,Healy,KS,67850,12/31/2016,8/17/2020,NM,Jayhawk Plaza On K-4,,1,0,0,2,1,Lane,,,7/10/1906,9/14/1956,12/18/2013,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,www.fsbhealy.com,9042.0,1628.0,6537.0,847.0,30.0,18041,6295.0,9322.0,1868.0,556.0
5141,1982,0,615253,1857171.0,THE FIRST STATE BANK OF MALTA,Malta,MT,59538,12/31/2016,8/17/2020,SM,1 S. 1st St. E.,FS BANCO INC,1,0,0,2,0,Phillips,,,3/4/1903,1/1/1934,7/15/2016,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.fsbmalta.com,20734.0,6088.0,8796.0,5538.0,312.0,15239,6370.0,5256.0,3512.0,101.0
5142,11527,0,644057,,"THE FIRST STATE BANK OF POND CREEK, OKLAHOMA",Pond Creek,OK,73766,12/31/2016,8/17/2020,NM,Second &broadway St.,,2,0,0,2,1,Grant,,,9/16/1893,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,http://www.fsbpondcreek.com,10055.0,3302.0,5117.0,1153.0,483.0,8027,2438.0,3331.0,1517.0,741.0
5143,15469,0,471057,,THE FIRST STATE BANK OF RANSOM,Ransom,KS,67572,12/31/2016,8/17/2020,NM,306 S Vermont Ave,,2,0,0,2,0,Ness,,,1/1/1900,3/4/1937,4/25/2012,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,fsbransom.com,5786.0,1986.0,3070.0,730.0,0.0,2221,468.0,1616.0,137.0,0.0
5144,8191,0,818559,1127548.0,THE FIRST STATE BANK OF RED WING,Red Wing,MN,55066,12/31/2016,8/17/2020,NM,3209 S. Service Dr.,NOBLE BANK HOLDING CO INC,3,0,0,7,0,Goodhue,,,10/14/1915,1/1/1934,2/18/2011,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,http://www.firststatebankredwing.com,15274.0,2895.0,6815.0,4382.0,1182.0,10748,2115.0,5141.0,2420.0,1072.0
