,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,32641.0,24067.0,11194.0,14075.0,16473.0,14966.0,19432.0,2109.0,13011.0,3446.0,866.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,15712.0,16115.0,5059.0,22821.0,3036.0,913.0,12761.0,1345.0,10226.0,1190.0,0.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3493.0,3398.0,1930.0,3368.0,1446.0,148.0,556.0,0.0,0.0,556.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18427.0,9757.0,5993.0,16844.0,5347.0,0.0,4392.0,256.0,4136.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7599.0,5204.0,3787.0,6425.0,2410.0,180.0,2183.0,0.0,2183.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,12360.0,7181.0,3782.0,8842.0,4614.0,2303.0,12458.0,11932.0,268.0,258.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,11030.0,12713.0,8615.0,9272.0,4668.0,1188.0,12119.0,1396.0,5383.0,2822.0,2518.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4941.0,1709.0,1490.0,3481.0,889.0,790.0,1434.0,933.0,501.0,0.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3657.0,7136.0,3269.0,6487.0,1037.0,0.0,8606.0,2820.0,5786.0,0.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,42193.0,55795.0,20286.0,49090.0,27910.0,702.0,61188.0,33916.0,20353.0,6669.0,250.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9130.0,6889.0,1874.0,6949.0,6131.0,1065.0,7976.0,5813.0,338.0,1825.0,0.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,62878.0,166501.0,53165.0,121254.0,49653.0,5307.0,35607.0,3839.0,23667.0,7849.0,252.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9664.0,24205.0,6564.0,17649.0,7947.0,1710.0,5911.0,3128.0,2483.0,300.0,0.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,7835.0,15037.0,4699.0,13770.0,3755.0,647.0,4617.0,1332.0,3285.0,0.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14545.0,10058.0,5338.0,11005.0,8180.0,81.0,2803.0,1017.0,1533.0,253.0,0.0
15,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,323068.0,97653.0,28766.0,49085.0,73901.0,268969.0,6558.0,513.0,5735.0,310.0,0.0
16,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,24988.0,32612.0,14782.0,17717.0,23918.0,1183.0,15324.0,8376.0,4827.0,2121.0,0.0
17,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,273982.0,177075.0,119575.0,202171.0,96051.0,33260.0,83929.0,23791.0,35972.0,20769.0,3397.0
18,9087,1ST SOURCE BANK,South Bend,IN,46601,1,www.1stsource.com,990375.0,375411.0,171912.0,690961.0,421911.0,81002.0,344475.0,126977.0,155704.0,55982.0,5812.0
19,57626,1ST STATE BANK,Saginaw,MI,48604,1,www.1ststatebk.com,7033.0,5760.0,1554.0,4764.0,5694.0,781.0,6000.0,3134.0,2866.0,0.0,0.0
20,22543,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,1,www.1ststatebankmc.com,5028.0,2280.0,1265.0,2994.0,2400.0,651.0,269.0,0.0,269.0,0.0,0.0
21,8426,1ST SUMMIT BANK,Johnstown,PA,15904,1,http://www.1stsummit.bank,255986.0,115007.0,70018.0,122695.0,148673.0,29607.0,68775.0,14723.0,29034.0,20747.0,4271.0
22,57869,"1ST TRUST BANK, INC.",Hazard,KY,41701,1,https://www.1tbi.com,50584.0,49468.0,17909.0,52759.0,27350.0,2034.0,52935.0,6732.0,30625.0,15578.0,0.0
23,31249,1ST UNITED BANK,Faribault,MN,55021,1,www.1stunited.com,7994.0,2673.0,3624.0,6011.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9751,21ST CENTURY BANK,Loretto,MN,55357,1,http://www.21stcenturybank.com,174093.0,11717.0,62114.0,109056.0,12903.0,1737.0,2106.0,1505.0,601.0,0.0,0.0
25,16910,22ND STATE BANK,Louisville,AL,36048,1,www.22ndstatebank.com,20587.0,32693.0,13727.0,27852.0,11276.0,425.0,18100.0,9500.0,5967.0,2633.0,0.0
26,91005,5STAR BANK,Colorado Springs,CO,80914,1,http://www.5star.bank,9948.0,40374.0,3855.0,31962.0,10208.0,4297.0,13496.0,864.0,10207.0,956.0,1469.0
27,35029,AB&T,Albany,GA,31708,1,www.abtgold.com,6586.0,5217.0,1994.0,6945.0,2279.0,585.0,6335.0,1194.0,4377.0,764.0,0.0
28,32257,ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,1,www.abacusbank.com,28754.0,92214.0,8814.0,37501.0,58875.0,15777.0,8040.0,2421.0,4505.0,1114.0,0.0
