cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"22334","14075","247140","1205473","OREGON COMMUNITY BANK","Oregon","WI","53575","6/30/2020","8/17/2020","SM","733 N Main St","BOSSHARD FINANCIAL GROUP INC","12","0","0","4","0","Dane","31540","Madison, WI","9/15/1976","9/15/1976","5/1/2020","Stock","0","1","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.oregoncommunitybank.com","1057038","1057038","967033","48","73787","16170","0","0","","440467","328584","616571","284599","125650","206322","728454","328584","728454","984570","764422","29010","36332","36332","0","",""
"23007","10782","160360","3152423","OREGON PACIFIC BANKING COMPANY DBA OREGON PACIFIC BANK","Florence","OR","97439","6/30/2020","8/17/2020","SM","1355 Hwy. 101","OREGON PACIFIC BCORP","5","0","0","4","0","Lane","21660","Eugene, OR","12/17/1979","12/17/1979","11/16/2017","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","https://www.opbc.com","465927","465927","441437","0","22999","1490","0","0","","92520","86978","373406","97506","256015","19885","378948","125830","340097","464156","358005","5664","0","0","0","",""
"31469","7034","245276","2490575","ORIENTAL BANK","San Juan","PR","918","6/30/2020","8/17/2020","NM","254 Munoz Rivera Ave.","OFG BCORP","0","0","1","9","0","San Juan","41980","San Juan-Carolina-Caguas, PR","3/25/1965","3/25/1965","12/31/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","San Juan","New York","Northeastern","Southeast","60","1","http://www.orientalbank.com","8558017","8558017","8192860","449","275324","88524","860","0","","4393037","2238970","4164980","39201","1982217","2143562","6319047","2238970","6319047","7668286","5437295","249193","216841","216841","0","",""
"12614","12804","667757","1885307","ORIGIN BANK","Choudrant","LA","71227","6/30/2020","8/17/2020","SM","3921 Elm St.","ORIGIN BCORP INC","45","0","1","4","0","Lincoln","","","11/23/1912","1/1/1934","12/31/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","0","www.origin.bank","5384909","5384909","4749612","1","618266","17030","0","0","","538452","538452","4846457","3917288","183553","745617","4846457","1597433","3787476","4584067","2644747","106591","490881","489586","0","",""
"1388","0","845452","1124574","ORMSBY STATE BANK","Ormsby","MN","56162","6/30/2020","8/17/2020","NM","513 Main St.","ORMSBY BANCSHARES INC","1","0","0","2","1","Martin","","","7/1/1901","1/1/1934","9/11/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.ormsbybank.com","20469","20469","19669","0","757","43","0","0","","6747","3994","13722","0","4579","9143","16475","3876","16593","17940","19476","2392","1000","1000","0","",""
"713","10038","342410","1248153","ORRSTOWN BANK","Shippensburg","PA","17257","6/30/2020","8/17/2020","SM","77 E. King St.","ORRSTOWN FINL SERVICES INC","33","0","1","4","0","Cumberland","25420","Harrisburg-Carlisle, PA","5/1/1919","1/1/1934","5/1/2019","Stock","0","1","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.orrstown.com","2262504","2262504","1969363","0","283107","10034","0","0","","317910","235923","1944594","1339328","156711","448556","2026581","440423","1822081","2196601","1820562","68964","1000","1000","10779","",""
"1837","0","948643","1138375","OSSIAN STATE BANK","Ossian","IN","46777","6/30/2020","8/17/2020","NM","102 N. Jefferson St.","OSSIAN FINANCIAL SERVICES INC","3","0","0","4","1","Wells","","","10/19/1912","1/1/1934","1/2/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.ossianstatebank.com","112393","112393","89989","0","22404","0","0","0","","51935","33343","60458","23193","25707","11559","79050","31409","80984","111061","81490","4573","0","0","0","",""
"27989","17997","725077","5009204","OTTAWA SAVINGS BANK","Ottawa","IL","61350","6/30/2020","8/17/2020","SA","925 La Salle St","OTTAWA BCORP INC","3","0","0","4","0","La Salle","","","1/1/1871","4/3/1935","12/31/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.ottawasavings.com","244815","244815","221283","0","23532","0","0","0","","83369","82522","161446","24338","29389","107718","162293","25237","219578","226592","210949","14116","5490","0","14345","",""
"27955","16021","474777","2412586","OUR COMMUNITY BANK","Spencer","IN","47460","6/30/2020","8/17/2020","NM","279 E. Morgan St.","HOME FINANCIAL BCORP","2","0","0","5","0","Owen","14020","Bloomington, IN","1/1/1911","12/16/1935","7/15/2011","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.ocbconnect.com","56349","56349","48380","0","7969","0","0","0","","22126","22126","34223","0","15529","18694","34223","13533","42816","51813","47733","915","1986","1986","0","",""
"13112","8907","38740","1207954","OWEN COUNTY STATE BANK","Spencer","IN","47460","6/30/2020","8/17/2020","NM","201 W. Morgan St.","OWEN FINANCIAL CORP","7","0","0","4","0","Owen","14020","Bloomington, IN","1/1/1934","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.ocsbank.com","226364","226364","189294","0","36921","149","0","0","","110577","67291","115787","27344","25585","62858","159073","35720","190644","216145","181201","10943","0","0","0","",""
