,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,34399.0,25612.0,8454.0,13806.0,24003.0,13749.0,17400.0,1583.0,11037.0,2500.0,2280.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14096.0,17570.0,3684.0,14250.0,12395.0,1337.0,8727.0,0.0,2756.0,5474.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3533.0,2971.0,842.0,4459.0,1123.0,79.0,551.0,251.0,0.0,300.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,17818.0,8354.0,7972.0,13818.0,4381.0,0.0,2562.0,1019.0,1543.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,8514.0,4850.0,3493.0,9012.0,620.0,238.0,2087.0,1005.0,1081.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,14786.0,8879.0,5839.0,9811.0,3596.0,4419.0,12867.0,12256.0,0.0,358.0,253.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,12064.0,14311.0,9305.0,10610.0,4284.0,2175.0,10177.0,4551.0,2124.0,2685.0,818.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,5800.0,1465.0,2132.0,3894.0,835.0,404.0,2271.0,409.0,1079.0,783.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3314.0,4752.0,1658.0,5314.0,1094.0,0.0,4651.0,1568.0,2582.0,501.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,31567.0,64417.0,30744.0,19036.0,39213.0,6992.0,58138.0,19733.0,27119.0,10097.0,1189.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9307.0,7666.0,2455.0,7304.0,4838.0,2376.0,7073.0,3105.0,906.0,2721.0,341.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,57451.0,100002.0,21760.0,57793.0,62266.0,15634.0,27415.0,4822.0,13622.0,8025.0,946.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,10049.0,24106.0,3831.0,16079.0,10355.0,3890.0,5776.0,261.0,4701.0,514.0,300.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,8319.0,17141.0,4508.0,14809.0,5051.0,1092.0,4231.0,0.0,1930.0,2301.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,15563.0,6067.0,4660.0,12098.0,4826.0,46.0,840.0,326.0,514.0,0.0,0.0
15,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,361012.0,66602.0,15547.0,46319.0,48734.0,317014.0,6430.0,1631.0,3497.0,1000.0,302.0
16,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,19617.0,23647.0,12100.0,11365.0,10912.0,8888.0,11548.0,2016.0,7654.0,1367.0,511.0
17,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,144755.0,79131.0,54658.0,60191.0,88712.0,20325.0,45417.0,6089.0,13827.0,19515.0,5986.0
18,9087,1ST SOURCE BANK,South Bend,IN,46601,1,www.1stsource.com,901770.0,263749.0,151628.0,385556.0,534074.0,94261.0,329570.0,161788.0,101722.0,61212.0,4848.0
19,57626,1ST STATE BANK,Saginaw,MI,48604,1,www.1ststatebk.com,7833.0,5602.0,3029.0,2526.0,6562.0,1318.0,7004.0,2174.0,2266.0,2564.0,0.0
20,22543,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,1,www.1ststatebankmc.com,5544.0,3413.0,1816.0,4056.0,1556.0,1529.0,265.0,0.0,265.0,0.0,0.0
