cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"22925","0","956527","1070970","INDEPENDENCE BANK","Independence","OH","44131","6/30/2020","8/17/2020","NM","4401 Rockside Rd.","INDEPENDENCE BANCCORP","1","0","0","4","0","Cuyahoga","17460","Cleveland-Elyria, OH","8/15/1979","8/15/1979","9/1/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","6880","10265","11369","5776","0","0","55250","29231","26019","0","0"
"57379","0","3180136","","INDEPENDENCE BANK","East Greenwich","RI","2818","6/30/2020","8/17/2020","NM","1370 S. County Trail","","1","0","0","4","0","Kent","39300","Providence-Warwick, RI-MA","3/25/2003","3/25/2003","10/20/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.independence-bank.com","6764","20924","1583","13629","11948","529","5066","267","3216","1583","0"
"8136","13530","648242","1118854","INDEPENDENCE BANK OF KENTUCKY","Owensboro","KY","42301","6/30/2020","8/17/2020","SM","2425 Frederica St.","INDEPENDENCE BANCSHARES INC","26","0","0","4","1","Daviess","36980","Owensboro, KY","1/1/1909","1/1/1934","1/18/2018","Stock","0","1","FED","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","http://www.1776bank.com","329591","63876","95285","155470","91096","51616","54013","15037","25331","10128","3517"
"10741","0","396057","1121724","INDEPENDENCE STATE BANK","Independence","WI","54747","6/30/2020","8/17/2020","NM","23942 Senty Dr.","NORTHERN FINANCIAL CORP","3","0","0","2","0","Trempealeau","","","1/1/1897","1/1/1934","8/8/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.independencestatebank.com","10410","6768","2562","7634","6981","0","3390","1764","0","1626","0"
"3076","0","122854","3140288","INDEPENDENT BANK","Mckinney","TX","75070","6/30/2020","8/17/2020","NM","7777 Henneman Way","INDEPENDENT BANK GROUP INC","102","0","1","4","0","Collin","19100","Dallas-Fort Worth-Arlington, TX","1/1/1913","1/1/1934","9/16/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.independent-bank.com","361007","501755","291544","474348","83405","13465","821172","244868","525703","48376","2225"
"34728","0","2666400","3121193","INDEPENDENT BANK","Memphis","TN","38157","6/30/2020","8/17/2020","NM","5050 Poplar Ave.","INDEPENDENT HOLDINGS INC","12","0","1","4","0","Shelby","32820","Memphis, TN-MS-AR","4/20/1998","4/20/1998","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","https://www.i-bankonline.com","162102","86584","56261","148311","43069","1045","47916","16916","21755","9245","0"
"27811","321","636771","1201925","INDEPENDENT BANK","Grand Rapids","MI","49525","6/30/2020","8/17/2020","SM","4200 E. Beltline Ave. Ne","INDEPENDENT BANK CORP","68","0","0","4","0","Kent","24340","Grand Rapids-Wyoming, MI","1/1/1890","9/15/1999","4/1/2018","Stock","0","0","FED","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","http://www.IndependentBank.com","313005","121764","213686","149260","57745","14078","95775","26873","58805","8392","1705"
"11462","12394","956152","1416925","INDEPENDENT FARMERS BANK","Maysville","MO","64469","6/30/2020","8/17/2020","NM","201 W Main St.","FARMERS BANCSHARES INC","3","0","0","2","0","Dekalb","41140","St. Joseph, MO-KS","3/12/1920","1/1/1934","2/23/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.farmbank.net","13107","8263","4478","9603","5569","1720","7299","3420","2328","1551","0"
"24387","0","1015560","4097978","INDUSTRIAL AND COMMERCIAL BANK OF CHINA USA, NATIONAL ASSOCIATION","New York","NY","10019","6/30/2020","8/17/2020","N","1633 Broadway","CHINA INVESTMENT CORP","14","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","2/14/1983","2/14/1983","4/28/2017","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","www.icbc-us.com","144138","572408","161032","271964","253206","30344","147973","54466","68665","24842","0"
"14679","0","536527","2326179","INDUSTRIAL BANK","Washington","DC","20011","6/30/2020","8/17/2020","NM","4812 Georgia Ave. Nw","IBW FINANCIAL CORP","10","0","1","4","0","District Of Columb","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","8/18/1934","8/18/1934","11/1/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.industrial-bank.com","27063","46440","13865","45534","11378","2726","15539","4439","6637","4463","0"
"12506","12309","733054","2112439","INDUSTRY STATE BANK","Industry","TX","78944","6/30/2020","8/17/2020","NM","16886 Fordtran Blvd","INDUSTRY BANCSHARES INC","5","0","0","2","0","Austin","26420","Houston-The Woodlands-Sugar Land, TX","6/1/1911","1/1/1934","4/13/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","http://www.isbtx.com","77193","172360","82194","114465","48277","4617","124953","60804","50304","13505","340"
"9307","0","1001817","1071678","INEZ DEPOSIT BANK","Inez","KY","41224","6/30/2020","8/17/2020","NM","41 W. Main St.","COMMUNITY HOLDING CO","4","0","0","7","0","Martin","","","5/1/1904","1/1/1934","10/21/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.inezdepositbank.com","19566","16165","5953","8032","16695","5052","3977","1029","383","2565","0"
"59098","0","5193989","","INFINITY BANK","Santa Ana","CA","92707","6/30/2020","8/17/2020","NM","6 Hutton Ctr. Dr. Suite 100","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","2/1/2018","2/1/2018","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","https://www.goinfinitybank.com/","20037","0","0","20037","0","0","0","0","0","0","0"
"27763","239","904171","4442224","INFIRST BANK","Indiana","PA","15701","6/30/2020","8/17/2020","SB","935 Philadelphia St.","INFIRST BCORP MHC","9","0","0","5","0","Indiana","","","1/1/1922","5/31/1943","1/1/2018","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.infirstbank.com","76189","61365","20921","70389","33974","12269","27259","2916","16394","5099","2850"
"22444","13793","189745","2944144","INLAND BANK & TRUST","Oak Brook","IL","60523","6/30/2020","8/17/2020","NM","2805 Butterfield Rd.","INLAND BCORP INC","15","0","0","4","0","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/1977","4/1/1977","10/15/2015","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.inlandbank.com","128729","115854","50743","127718","59460","6662","63605","10881","38716","12959","1049"
"35521","0","2877345","2877336","INSBANK","Nashville","TN","37215","6/30/2020","8/17/2020","SM","2106 Crestmoor Rd.","INSCORP INC","2","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","11/20/2000","11/20/2000","5/11/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.insbank.com","33170","135068","17390","105978","43559","1310","83487","7561","33495","36302","6129"
"22020","9222","329550","1100000","INSOUTH BANK","Brownsville","TN","38012","6/30/2020","8/17/2020","SM","111 S. Washington St.","INDEPENDENT S BANCSHARES INC","6","0","0","4","0","Haywood","","","1/1/1869","5/15/1975","4/16/2018","Stock","0","1","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","www.insouth.com","38906","42287","23418","44156","11214","2405","13874","4054","8829","991","0"
"90250","0","272302","","INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY","Newburyport","MA","1950","6/30/2020","8/17/2020","SB","93 State St.","","17","0","0","5","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1820","8/13/1985","12/31/2014","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.institutionforsavings.com","511141","540298","290789","501381","253323","5946","536389","161898","234442","134947","5102"
"57587","0","3160978","3184853","INTEGRITY BANK & TRUST","Monument","CO","80132","6/30/2020","8/17/2020","NM","1275 Village Ridge Point","GEMINI BANCSHARES INC","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","8/11/2003","8/11/2003","3/19/2012","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.integritybankandtrust.com","5554","10325","2932","10395","1707","846","3444","508","904","980","1052"
"15578","0","897451","1925913","INTEGRITY BANK PLUS","Wabasso","MN","56293","6/30/2020","8/17/2020","NM","726 Main St.","WABASSO BANCSHARES INC","2","0","0","2","1","Redwood","","","10/1/1934","1/27/1938","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.integritybank.com","10648","5979","1948","10677","3648","355","698","0","698","0","0"
"31823","7506","221775","","INTERAMERICAN BANK, A FSB","Miami","FL","33165","6/30/2020","8/17/2020","SA","9190 Coral Way","","5","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","8/23/1976","8/23/1976","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.interamericanbank.com","10470","12196","13832","8061","773","0","11780","5272","6508","0","0"
"24516","11980","538802","","INTERAUDI BANK","New York","NY","10022","6/30/2020","8/17/2020","NM","19 E. 54th St.","","2","0","1","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","6/14/1983","6/14/1983","1/2/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.interaudibank.com","43426","58891","77007","11310","14000","0","716549","670461","46088","0","0"
"27210","10803","1187001","2233950","INTERBANK","Oklahoma City","OK","73112","6/30/2020","8/17/2020","SM","4921 N. May Ave.","OLNEY BANCSHARES OF TEXAS INC","47","0","1","4","1","Oklahoma","36420","Oklahoma City, OK","3/31/1988","3/31/1988","6/7/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.interbank.com","113284","197175","124581","160204","23687","1987","114469","40883","69861","3725","0"
"17128","15900","1016941","1124163","INTERCITY STATE BANK","Schofield","WI","54476","6/30/2020","8/17/2020","NM","962 Grand Ave.","BOSSHARD BANCO LTD","3","0","0","4","0","Marathon","48140","Wausau, WI","7/14/1952","7/14/1952","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","intercitystatebank.com","25635","10666","6268","21351","8148","534","7848","1395","4419","2034","0"
"25258","0","44433","","INTERCREDIT BANK, NATIONAL ASSOCIATION","Miami","FL","33134","6/30/2020","8/17/2020","N","4725 S.W. 8th St.","","4","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/2/1984","7/2/1984","6/25/2018","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.intercreditbank.com","30369","67770","15267","55983","26083","806","25418","1281","15348","8338","451"
"33708","13929","2006024","2339759","INTERNATIONAL BANK OF CHICAGO","Chicago","IL","60640","6/30/2020","8/17/2020","NM","5069 N. Broadway","IBC BCORP INC","6","0","1","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/26/1992","10/26/1992","3/23/2012","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.inbk.com","123696","126216","35431","126765","73349","14368","60859","13359","30013","16954","533"
"19629","10788","1001152","1104231","INTERNATIONAL BANK OF COMMERCE","Laredo","TX","78040","6/30/2020","8/17/2020","NM","1200 San Bernardo Ave.","INTERNATIONAL BANCSHARES CORP","122","0","0","4","0","Webb","29700","Laredo, TX","9/2/1966","9/2/1966","3/16/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","0","www.ibc.com","364912","365332","360310","311478","54340","4117","657229","271474","329395","55223","1137"
"59093","0","5050028","1104231","INTERNATIONAL BANK OF COMMERCE","Oklahoma City","OK","73112","6/30/2020","8/17/2020","NM","3817 N.W. Expwy.","INTERNATIONAL BANCSHARES CORP","46","0","1","4","0","Oklahoma","36420","Oklahoma City, OK","1/1/2017","1/1/2017","1/1/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","0","www.ibc.com","71062","33977","26701","52764","22567","3007","46126","18356","15803","11118","849"
"24961","10800","382069","1104231","INTERNATIONAL BANK OF COMMERCE","Zapata","TX","78076","6/30/2020","8/17/2020","NM","908 N, Us Hwy 83,","INTERNATIONAL BANCSHARES CORP","10","0","0","5","0","Zapata","","","2/6/1984","2/6/1984","9/6/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","0","www.ibc.com","26015","22173","17334","27117","3357","378","41247","12005","24162","4080","1000"
"25679","10799","230759","1104231","INTERNATIONAL BANK OF COMMERCE","Brownsville","TX","78520","6/30/2020","8/17/2020","NM","1600 F.M. 802","INTERNATIONAL BANCSHARES CORP","12","0","0","4","0","Cameron","15180","Brownsville-Harlingen, TX","10/9/1984","10/9/1984","9/6/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","0","www.ibc.com","42763","67681","56352","44275","9137","679","137304","56727","72260","7817","500"
"25648","0","780562","3444847","INTERNATIONAL CITY BANK FEDERAL SAVINGS BANK","Long Beach","CA","90802","6/30/2020","8/17/2020","SA","249 E Ocean Blvd.","PEDCOR CAPITAL LLC","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","9/6/1984","9/6/1984","3/19/2018","Stock","0","0","OCC","DIF","San Francisco","CHICAGO","Los Angeles (West)","San Francisco","Western","Western","0","1","http://www.icb.biz","1329","43685","27011","11274","6729","0","13732","6975","5037","1720","0"
"24823","14561","867632","","INTERNATIONAL FINANCE BANK","Miami","FL","33135","6/30/2020","8/17/2020","NM","777 Sw 37","","3","0","1","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","11/30/1983","11/30/1983","10/19/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","https://www.ifbbank.com","20224","64237","30167","44409","8571","1314","136616","41703","45851","48787","275"
"31043","6301","791072","3130542","INTERSTATE BANK","Perryton","TX","79070","6/30/2020","8/17/2020","NM","301 S. Main St.","ISB HOLDINGS INC","2","0","0","4","1","Ochiltree","","","1/1/1957","2/26/1959","12/2/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.isbtexas.bank","4025","17571","7026","9892","4464","214","13453","4928","7670","855","0"
