,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,29524.0,20598.0,6391.0,13517.0,18404.0,11811.0,13738.0,571.0,9597.0,2474.0,1096.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14109.0,17087.0,8362.0,17092.0,5060.0,682.0,10015.0,4705.0,4303.0,1007.0,0.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3387.0,3060.0,1433.0,4203.0,614.0,197.0,1498.0,0.0,687.0,811.0,0.0
3,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7484.0,5369.0,3678.0,7069.0,1971.0,135.0,2211.0,1040.0,1170.0,0.0,0.0
4,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,11101.0,6532.0,5826.0,4982.0,5585.0,1240.0,10781.0,10261.0,0.0,520.0,0.0
5,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,10084.0,11805.0,6876.0,9554.0,4235.0,1225.0,12856.0,3870.0,4610.0,1436.0,2940.0
6,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4491.0,1926.0,1647.0,2805.0,1232.0,733.0,1174.0,410.0,502.0,0.0,262.0
7,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,2946.0,6951.0,3508.0,5718.0,670.0,0.0,9134.0,5094.0,3201.0,839.0,0.0
8,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,43117.0,36888.0,20853.0,23008.0,29860.0,6284.0,38970.0,11503.0,21353.0,5034.0,1080.0
9,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,10089.0,6118.0,2298.0,7685.0,5099.0,1125.0,5786.0,1767.0,3025.0,994.0,0.0
10,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,89848.0,198379.0,96953.0,135149.0,51275.0,4850.0,41385.0,10111.0,22605.0,8091.0,578.0
11,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,16620.0,38718.0,8903.0,33695.0,10867.0,1873.0,6712.0,595.0,4730.0,1387.0,0.0
12,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14368.0,8476.0,3181.0,15559.0,4002.0,102.0,3263.0,506.0,2202.0,555.0,0.0
13,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,210489.0,168170.0,81335.0,158800.0,97149.0,41375.0,7648.0,2541.0,3636.0,1471.0,0.0
14,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,27501.0,37626.0,4327.0,47501.0,12317.0,984.0,18538.0,2940.0,14808.0,790.0,0.0
15,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,321634.0,166543.0,196482.0,137701.0,131913.0,22080.0,84992.0,28469.0,31038.0,21370.0,4115.0
16,9087,1ST SOURCE BANK,South Bend,IN,46601,1,www.1stsource.com,822970.0,382136.0,351218.0,492367.0,300057.0,61464.0,284276.0,138736.0,117072.0,24716.0,3752.0
17,57626,1ST STATE BANK,Saginaw,MI,48604,1,www.1ststatebk.com,6265.0,5680.0,3270.0,6611.0,1866.0,198.0,5323.0,4021.0,1302.0,0.0,0.0
18,22543,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,1,www.1ststatebankmc.com,4827.0,2980.0,1399.0,3727.0,2256.0,424.0,271.0,0.0,271.0,0.0,0.0
19,8426,1ST SUMMIT BANK,Johnstown,PA,15904,1,http://www.1stsummit.bank,248349.0,114586.0,83386.0,123772.0,138198.0,17579.0,69328.0,27055.0,19065.0,21700.0,1507.0
20,57869,"1ST TRUST BANK, INC.",Hazard,KY,41701,1,https://www.1tbi.com,49676.0,47706.0,22937.0,53101.0,19251.0,2094.0,47261.0,7825.0,17860.0,21577.0,0.0
21,31249,1ST UNITED BANK,Faribault,MN,55021,1,www.1stunited.com,7272.0,1882.0,2268.0,6050.0,836.0,0.0,854.0,325.0,529.0,0.0,0.0
22,9751,21ST CENTURY BANK,Loretto,MN,55357,1,http://www.21stcenturybank.com,124866.0,11542.0,29296.0,62240.0,43853.0,1019.0,3872.0,352.0,3520.0,0.0,0.0
23,16910,22ND STATE BANK,Louisville,AL,36048,1,www.22ndstatebank.com,19522.0,32061.0,4148.0,39367.0,7859.0,209.0,11760.0,6497.0,2586.0,2677.0,0.0
24,91005,5STAR BANK,Colorado Springs,CO,80914,1,http://www.5star.bank,9339.0,67279.0,3713.0,54063.0,13952.0,4890.0,12349.0,3642.0,5135.0,2082.0,1490.0
25,35029,AB&T,Albany,GA,31708,1,www.abtgold.com,6682.0,4483.0,2778.0,6146.0,2146.0,94.0,3849.0,1867.0,1727.0,255.0,0.0
26,32257,ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,1,www.abacusbank.com,28127.0,94552.0,13970.0,31736.0,56431.0,20542.0,8887.0,2507.0,4080.0,2300.0,0.0
27,30332,ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK),Abbeville,LA,70510,1,www.abbemae.com,5393.0,5847.0,1697.0,3549.0,5851.0,144.0,3475.0,578.0,855.0,2042.0,0.0
28,30619,"ABBEVILLE FIRST BANK, SSB",Abbeville,SC,29620,1,http://www.abbevillefirst.com,13841.0,11751.0,6191.0,12583.0,6622.0,196.0,985.0,0.0,610.0,375.0,0.0
29,19795,ABBYBANK,Abbotsford,WI,54405,1,www.abbybank.com,79786.0,64124.0,34532.0,63956.0,41606.0,3816.0,38784.0,9427.0,19887.0,9067.0,403.0
30,26590,ABINGTON BANK,Abington,MA,2351,0,www.abingtonbank.com,53656.0,44151.0,17793.0,48977.0,26201.0,4836.0,49219.0,6203.0,32414.0,8329.0,2273.0
31,19600,"ACADEMY BANK, NATIONAL ASSOCIATION",Kansas City,MO,64154,0,www.academybank.com,283051.0,460688.0,101970.0,473746.0,151131.0,16892.0,177534.0,7551.0,125442.0,41196.0,3345.0
32,4061,ACB BANK,Cherokee,OK,73728,1,www.acbbank.net,5282.0,44401.0,12516.0,23102.0,13674.0,391.0,4746.0,0.0,3494.0,1252.0,0.0
33,58727,ACCESS BANK,Omaha,NE,68114,1,WWW.ACCESSBANK.COM,39899.0,18395.0,5008.0,23949.0,19363.0,9974.0,23943.0,4345.0,13244.0,5211.0,1143.0
34,58562,ACCESSBANK TEXAS,Denton,TX,76201,1,http://WWW.ACCESSBANKTX.COM,20869.0,51391.0,12881.0,40227.0,18431.0,721.0,42286.0,12230.0,18351.0,10608.0,1097.0
