,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,34237.0,24798.0,8528.0,13296.0,25612.0,11599.0,19920.0,1323.0,10546.0,6349.0,1702.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14776.0,18279.0,5325.0,12455.0,13780.0,1495.0,9513.0,2067.0,2317.0,4632.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3664.0,2871.0,2353.0,2905.0,1133.0,144.0,300.0,0.0,0.0,300.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18202.0,9499.0,5777.0,17558.0,4365.0,0.0,2565.0,781.0,1785.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,8320.0,4827.0,5211.0,6982.0,738.0,217.0,2092.0,0.0,2092.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,13969.0,8166.0,4762.0,9697.0,3974.0,3702.0,18956.0,18077.0,359.0,520.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,11907.0,13889.0,9407.0,9565.0,4641.0,2183.0,11048.0,969.0,4366.0,2690.0,3024.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,5518.0,1630.0,1810.0,3748.0,1093.0,497.0,2275.0,409.0,1336.0,530.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3379.0,5441.0,2471.0,4652.0,1697.0,0.0,7191.0,1823.0,4613.0,755.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,31584.0,64312.0,25284.0,24065.0,42118.0,4429.0,54545.0,20565.0,24024.0,9688.0,268.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9166.0,7244.0,2520.0,6403.0,5441.0,2046.0,7040.0,3682.0,280.0,2738.0,340.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,58445.0,115410.0,30367.0,59097.0,70153.0,14238.0,32032.0,7134.0,17443.0,6644.0,811.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9987.0,24124.0,6640.0,13394.0,10444.0,3632.0,5790.0,2267.0,2705.0,518.0,300.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,8159.0,16991.0,6052.0,12971.0,4917.0,1210.0,4250.0,1935.0,329.0,1986.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,15451.0,7357.0,6322.0,12652.0,3816.0,18.0,590.0,263.0,0.0,327.0,0.0
15,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,357308.0,67192.0,21159.0,42654.0,49825.0,310862.0,6713.0,251.0,3769.0,2390.0,303.0
16,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,19965.0,23685.0,5175.0,11555.0,18820.0,8100.0,11571.0,6605.0,2309.0,2145.0,512.0
