,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
2065,2710,9223,961811,1070998.0,"FIRST STATE BANK OF THE SOUTHEAST, INC",Middlesboro,KY,40965,6/30/2020,8/17/2020,NM,1810 Cumberland Ave.,FIRST STATE BANCSHARES INC,10,0,1,4,1,Bell,,,1/4/1904,1/1/1934,12/6/2018,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Lexington,Cleveland,Central,Southeast,0,1,www.ourfsb.bank,38184.0,33373.0,15768.0,31806.0,19379.0,4604.0,33002.0,6271.0,15326.0,7775.0,3630.0
2066,9978,0,273662,1102451.0,FIRST STATE BANK OF UVALDE,Uvalde,TX,78801,6/30/2020,8/17/2020,NM,200 E. Nopal St.,BRISCOE RANCH INC,8,0,0,9,0,Uvalde,,,7/6/1907,1/1/1934,6/25/2015,Stock,0,1,FDIC,DIF,Dallas,DALLAS,Austin,Dallas,Southern,West,0,1,www.fsbuvalde.com,29303.0,37390.0,19159.0,36630.0,9198.0,1705.0,820804.0,437101.0,348512.0,33304.0,1887.0
2067,10809,0,472148,2795140.0,FIRST STATE BANK OF VAN ORIN,Van Orin,IL,61374,6/30/2020,8/17/2020,NM,27875 2600 E St.,VAN ORIN BCORP INC,2,0,0,2,1,Bureau,,,12/26/1919,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Princeton,Chicago,Central,Central,0,1,http://vanorinbank.com,4197.0,2495.0,1789.0,3901.0,884.0,118.0,2613.0,658.0,1955.0,0.0,0.0
2068,94,0,843542,1097463.0,FIRST STATE BANK OF WARREN,Warren,AR,71671,6/30/2020,8/17/2020,SM,104 S Main St.,BRADLEY BANCSHARES INC,4,0,0,4,1,Bradley,,,1/1/1890,1/1/1934,2/3/2014,Stock,0,1,FED,DIF,Dallas,DALLAS,Little Rock,St. louis,Southern,Southeast,0,1,http://www.firststatewarren.com,12042.0,8629.0,5460.0,10954.0,3352.0,903.0,6386.0,1801.0,4102.0,0.0,484.0
2069,1609,13849,222156,1128554.0,FIRST STATE BANK OF WYOMING,Wyoming,MN,55092,6/30/2020,8/17/2020,NM,26741 Felton,WYOMING BANCSHARES INC,2,0,0,7,0,Chisago,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",6/4/1914,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,www.fsbwyoming.com,22878.0,8650.0,3692.0,17822.0,7500.0,2513.0,3394.0,699.0,2084.0,611.0,0.0
2070,1781,11562,232847,1209985.0,FIRST STATE BANK SHANNON-POLO,Shannon,IL,61078,6/30/2020,8/17/2020,NM,1 S. Linn St.,SHANNON BCORP INC,3,0,0,2,1,Carroll,,,1/14/1930,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Princeton,Chicago,Central,Central,0,1,http://www.fsbshannon-polo.com,26333.0,13629.0,11475.0,11274.0,16632.0,581.0,6923.0,2571.0,2201.0,2151.0,0.0
2071,9770,13074,823656,2399678.0,FIRST STATE BANK SOUTHWEST,Pipestone,MN,56164,6/30/2020,8/17/2020,SM,202 2nd St. S.E.,FIRST STB SW KSOP PLAN&TR,5,0,0,2,1,Pipestone,,,1/1/1903,1/1/1934,1/1/2012,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Central,West,0,1,www.firststatebanksw.com,23850.0,16142.0,10450.0,23376.0,5953.0,213.0,7989.0,2323.0,3543.0,2123.0,0.0
2072,17323,13125,707354,1099917.0,FIRST STATE COMMUNITY BANK,Farmington,MO,63640,6/30/2020,8/17/2020,NM,201 E. Columbia St.,FIRST STATE BANCSHARES INC,52,0,0,4,0,Saint Francois,,,5/11/1954,5/11/1954,4/28/2017,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,http://www.fscb.com,254024.0,141420.0,110611.0,181057.0,73905.0,29871.0,114589.0,38052.0,48890.0,14649.0,12998.0
2073,399,0,514356,,FIRST SUMMIT BANK,Ryan,OK,73565,6/30/2020,8/17/2020,NM,6th &washington,,2,0,0,2,0,Jefferson,,,6/1/1894,1/1/1934,1/18/2019,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,www.fsbwford.com,3573.0,4891.0,2060.0,4256.0,952.0,1196.0,1060.0,254.0,300.0,506.0,0.0
2074,3293,0,875758,1100813.0,FIRST TEXAS BANK,Lampasas,TX,76550,6/30/2020,8/17/2020,NM,501 E. 3rd St.,FIRST TEXAS BCORP INC,2,0,0,4,0,Lampasas,28660.0,"Killeen-Temple, TX",10/2/1884,1/1/1934,6/17/2015,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Austin,Dallas,Southern,West,0,1,https://www.firsttexasbank.bank,5341.0,3083.0,2081.0,6343.0,0.0,0.0,2130.0,409.0,1722.0,0.0,0.0
