,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
787,57056,CELTIC BANK,Salt Lake City,UT,84111,0,http://www.celticbank.com,344491.0,2610.0,14355.0,37258.0,85185.0,210303.0,16741.0,548.0,0.0,1392.0,14801.0
788,8848,CENBANK,Buffalo Lake,MN,55314,1,www.cenbank.com,11075.0,5125.0,2488.0,8724.0,4469.0,519.0,1117.0,568.0,549.0,0.0,0.0
789,3098,"CENDERA BANK, NATIONAL ASSOCIATION",Bells,TX,75414,1,http://cenderabank.com,16281.0,13042.0,3527.0,8495.0,11322.0,5979.0,2709.0,254.0,550.0,1394.0,511.0
790,30996,CENLAR FSB,Trenton,NJ,8618,1,www.cenlar.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,11241,CENTENNIAL BANK,Conway,AR,72032,0,http://www.my100bank.com,519994.0,394168.0,211450.0,472983.0,191650.0,38079.0,580932.0,178934.0,168649.0,216436.0,16913.0
792,8439,CENTENNIAL BANK,Trezevant,TN,38258,1,http://www.mycentennial.bank,65555.0,56742.0,23839.0,55268.0,26775.0,16414.0,9775.0,1297.0,4244.0,2734.0,1500.0
793,14562,CENTENNIAL BANK,Lubbock,TX,79401,1,http://www.bankoncb.com,36751.0,43051.0,13761.0,51311.0,11553.0,3176.0,60478.0,17920.0,38175.0,3498.0,885.0
794,10976,CENTER NATIONAL BANK,Litchfield,MN,55355,1,Centernationalbank.com,17317.0,5337.0,2309.0,7161.0,9990.0,3194.0,11877.0,4000.0,7259.0,618.0,0.0
795,19293,CENTER POINT BANK AND TRUST COMPANY,Center Point,IA,52213,1,,3592.0,4647.0,785.0,4822.0,2161.0,471.0,0.0,0.0,0.0,0.0,0.0
796,16436,CENTERA BANK,Sublette,KS,67877,1,www.centerabank.com,20237.0,16656.0,12028.0,19528.0,5307.0,31.0,25833.0,14583.0,10766.0,484.0,0.0
797,35117,CENTERBANK,Milford,OH,45150,1,www.center.bank,30359.0,29444.0,5369.0,21604.0,22875.0,9955.0,8305.0,1570.0,2741.0,2618.0,1376.0
798,33555,"CENTERSTATE BANK, NATIONAL ASSOCIATION",Winter Haven,FL,33880,0,www.southstatebank.com,633196.0,402870.0,226897.0,496934.0,257733.0,54502.0,262515.0,40520.0,121560.0,83141.0,17294.0
799,12854,CENTIER BANK,Whiting,IN,46394,1,www.centier.com,319603.0,174604.0,174760.0,255026.0,55960.0,8461.0,163002.0,78772.0,62113.0,17117.0,5000.0
800,19904,CENTINEL BANK OF TAOS,Taos,NM,87571,1,www.centinelbank.com,9439.0,4965.0,5517.0,3567.0,3225.0,2095.0,16998.0,14934.0,841.0,298.0,925.0
801,17612,CENTRAL BANK,Houston,TX,77041,1,http://www.centralbankhouston.com,32748.0,104003.0,42734.0,73069.0,17552.0,3396.0,67840.0,20338.0,36224.0,10423.0,855.0
802,1756,CENTRAL BANK,Little Rock,AR,72211,1,http://www.centralbankar.com,20176.0,51739.0,13487.0,34900.0,22404.0,1124.0,32854.0,8341.0,14998.0,9515.0,0.0
803,31545,CENTRAL BANK,Savannah,TN,38372,1,http://www.CENTRALBANKTN.COM,16501.0,11837.0,6496.0,19833.0,1542.0,467.0,4124.0,255.0,3869.0,0.0,0.0
804,15555,CENTRAL BANK,Storm Lake,IA,50588,1,http://www.centralbankonline.com,74929.0,92656.0,63567.0,59416.0,37791.0,6811.0,68407.0,25520.0,31176.0,11038.0,674.0
805,58377,CENTRAL BANK,Tampa,FL,33647,1,www.centralbankfl.com,9256.0,26983.0,2320.0,13300.0,18191.0,2428.0,23889.0,0.0,5184.0,11466.0,7239.0
