,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,29849.0,20819.0,6209.0,13400.0,15950.0,15109.0,16802.0,10574.0,1634.0,3471.0,1123.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,14291.0,18979.0,11957.0,17547.0,3284.0,482.0,11782.0,2298.0,8078.0,1154.0,252.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3382.0,3056.0,1052.0,4430.0,760.0,196.0,1498.0,0.0,687.0,811.0,0.0
3,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7595.0,5226.0,3767.0,7065.0,1854.0,134.0,2203.0,1168.0,1035.0,0.0,0.0
4,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,11335.0,6673.0,3115.0,8338.0,5129.0,1426.0,10795.0,10526.0,0.0,269.0,0.0
5,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,10280.0,11457.0,7891.0,8205.0,4657.0,984.0,13355.0,401.0,6812.0,3207.0,2935.0
6,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4562.0,1922.0,1421.0,3143.0,947.0,973.0,1183.0,410.0,502.0,0.0,271.0
7,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3072.0,7238.0,2590.0,7301.0,419.0,0.0,9090.0,1789.0,6787.0,514.0,0.0
8,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,44565.0,41723.0,16162.0,36819.0,28152.0,5155.0,47639.0,16826.0,23601.0,6138.0,1074.0
9,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,10069.0,6838.0,1844.0,8648.0,5503.0,912.0,7068.0,3683.0,1488.0,1897.0,0.0
