,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,34103.0,25180.0,6065.0,19131.0,22147.0,11940.0,19689.0,1886.0,10767.0,5328.0,1708.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,17489.0,19619.0,5511.0,12060.0,18436.0,1101.0,9270.0,389.0,3261.0,5123.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3483.0,3377.0,2201.0,2559.0,1941.0,158.0,303.0,0.0,0.0,303.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18258.0,10116.0,6966.0,16943.0,4467.0,0.0,2041.0,767.0,1274.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,8201.0,4726.0,4039.0,6953.0,1761.0,176.0,2099.0,0.0,2099.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,13286.0,7401.0,5894.0,7204.0,4305.0,3284.0,15279.0,14398.0,359.0,522.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,12151.0,12987.0,7597.0,10896.0,4921.0,1725.0,10554.0,841.0,3963.0,2694.0,3055.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,5213.0,1940.0,2123.0,3170.0,1164.0,696.0,2277.0,1489.0,788.0,0.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3430.0,5777.0,1508.0,6081.0,1618.0,0.0,8047.0,602.0,6877.0,568.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,31427.0,70343.0,30278.0,29344.0,39782.0,2366.0,53055.0,21637.0,18523.0,12625.0,270.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,8780.0,7183.0,2630.0,5522.0,6093.0,1718.0,7481.0,3763.0,1883.0,1835.0,0.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,60320.0,126210.0,31680.0,63789.0,79073.0,11988.0,38046.0,7549.0,13396.0,16290.0,811.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9861.0,24701.0,5963.0,13361.0,12103.0,3135.0,6105.0,1395.0,4410.0,0.0,300.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,8252.0,16004.0,5786.0,11186.0,6190.0,1093.0,4265.0,0.0,1644.0,2621.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,15194.0,8073.0,4387.0,16084.0,2744.0,52.0,1093.0,252.0,250.0,591.0,0.0
15,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,351875.0,86177.0,7894.0,53869.0,81744.0,294545.0,6239.0,257.0,3781.0,1896.0,305.0
16,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,21922.0,26064.0,3607.0,23185.0,14426.0,6768.0,12568.0,750.0,8848.0,2456.0,514.0
17,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,248249.0,154095.0,49312.0,198533.0,134498.0,20000.0,81302.0,14140.0,28883.0,31676.0,6603.0
18,9087,1ST SOURCE BANK,South Bend,IN,46601,1,www.1stsource.com,854922.0,316566.0,143275.0,395288.0,541743.0,91182.0,285343.0,88767.0,106490.0,83118.0,6968.0
19,57626,1ST STATE BANK,Saginaw,MI,48604,1,www.1ststatebk.com,7036.0,5341.0,2191.0,2186.0,7063.0,936.0,5655.0,522.0,4324.0,809.0,0.0
20,22543,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,1,www.1ststatebankmc.com,5448.0,3175.0,1410.0,3610.0,2168.0,1434.0,265.0,0.0,265.0,0.0,0.0
21,8426,1ST SUMMIT BANK,Johnstown,PA,15904,1,http://www.1stsummit.bank,236778.0,107369.0,59110.0,88355.0,156394.0,40288.0,60816.0,22915.0,13814.0,18391.0,5696.0
22,57869,"1ST TRUST BANK, INC.",Hazard,KY,41701,1,https://www.1tbi.com,39729.0,43232.0,22156.0,44809.0,15862.0,133.0,52285.0,8729.0,39228.0,4328.0,0.0
23,31249,1ST UNITED BANK,Faribault,MN,55021,1,www.1stunited.com,7855.0,2314.0,2020.0,5494.0,2656.0,0.0,1007.0,507.0,500.0,0.0,0.0
24,9751,21ST CENTURY BANK,Loretto,MN,55357,1,http://www.21stcenturybank.com,176438.0,5556.0,110879.0,58838.0,11019.0,1258.0,2010.0,0.0,2010.0,0.0,0.0
25,16910,22ND STATE BANK,Louisville,AL,36048,1,www.22ndstatebank.com,21573.0,50456.0,7866.0,44808.0,16976.0,2379.0,8009.0,455.0,4645.0,2909.0,0.0
26,91005,5STAR BANK,Colorado Springs,CO,80914,1,http://www.5star.bank,10271.0,19903.0,7090.0,12166.0,9151.0,1767.0,11927.0,1012.0,7061.0,2047.0,1807.0
27,27831,A J SMITH FEDERAL SAVINGS BANK,Midlothian,IL,60445,1,,24782.0,10826.0,6344.0,10709.0,15033.0,3523.0,3557.0,524.0,1032.0,1733.0,268.0
28,35029,AB&T,Albany,GA,31708,1,www.abtgold.com,7183.0,14067.0,9640.0,8265.0,2490.0,856.0,6461.0,1360.0,4844.0,257.0,0.0
29,32257,ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,1,www.abacusbank.com,28001.0,100302.0,8623.0,56570.0,62259.0,851.0,7064.0,529.0,3744.0,2791.0,0.0
30,30332,ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK),Abbeville,LA,70510,1,www.abbemae.com,5744.0,3780.0,2319.0,3855.0,2905.0,445.0,1779.0,594.0,917.0,268.0,0.0
31,30619,"ABBEVILLE FIRST BANK, SSB",Abbeville,SC,29620,1,http://www.abbevillefirst.com,14770.0,10485.0,5757.0,11004.0,8385.0,109.0,2075.0,292.0,1522.0,261.0,0.0
32,19795,ABBYBANK,Abbotsford,WI,54405,1,www.abbybank.com,85525.0,56675.0,27189.0,42046.0,56411.0,16554.0,33832.0,3482.0,19767.0,9245.0,1338.0
33,26549,ABINGTON BANK,Abington,MA,2351,1,,37431.0,17034.0,8047.0,20928.0,20898.0,4591.0,16923.0,6296.0,2337.0,6250.0,2040.0
34,19600,"ACADEMY BANK, NATIONAL ASSOCIATION",Kansas City,MO,64154,0,www.academybank.com,225947.0,303301.0,72742.0,232899.0,210934.0,12673.0,50904.0,5313.0,16782.0,28060.0,749.0
35,4061,ACB BANK,Cherokee,OK,73728,1,www.acbbank.net,5896.0,39834.0,6093.0,20317.0,17095.0,2225.0,5786.0,1074.0,1927.0,2785.0,0.0
36,58727,ACCESS BANK,Omaha,NE,68114,1,WWW.ACCESSBANK.COM,23683.0,21817.0,3158.0,20741.0,15714.0,5887.0,32989.0,3536.0,15348.0,10991.0,3114.0
