,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,33194.0,24982.0,6841.0,18676.0,17517.0,15143.0,19132.0,571.0,14250.0,3432.0,879.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,15020.0,16666.0,3390.0,22391.0,4934.0,970.0,12283.0,1639.0,6660.0,3487.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3529.0,3396.0,893.0,3861.0,2023.0,148.0,554.0,0.0,0.0,554.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18277.0,10184.0,8279.0,14716.0,5465.0,0.0,4115.0,2582.0,1533.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7977.0,4941.0,3461.0,6845.0,2434.0,178.0,2174.0,1021.0,1153.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,13489.0,9194.0,8027.0,6410.0,5715.0,2531.0,11829.0,11304.0,268.0,257.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,11220.0,13331.0,7394.0,10832.0,5234.0,1091.0,11981.0,3847.0,2264.0,3355.0,2515.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4994.0,1706.0,1280.0,3193.0,1443.0,784.0,1431.0,409.0,1022.0,0.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3606.0,7080.0,2236.0,6111.0,2340.0,0.0,9008.0,3854.0,4452.0,702.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,46340.0,65999.0,34476.0,39308.0,38185.0,370.0,59141.0,32539.0,20296.0,6034.0,273.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9229.0,6859.0,1885.0,6684.0,6352.0,1167.0,7279.0,3248.0,2228.0,1803.0,0.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,64007.0,153832.0,35342.0,100847.0,74917.0,6733.0,47825.0,16376.0,22417.0,7970.0,1062.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9569.0,24531.0,3553.0,19275.0,8309.0,2962.0,5902.0,263.0,5339.0,300.0,0.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,8053.0,14903.0,3193.0,14231.0,4157.0,1376.0,4588.0,334.0,4254.0,0.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14999.0,7542.0,879.0,15667.0,5923.0,71.0,3160.0,506.0,2004.0,650.0,0.0
