,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,33619.0,25308.0,5862.0,19780.0,18077.0,15207.0,18729.0,10327.0,4323.0,2040.0,2039.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,17443.0,17998.0,3870.0,15851.0,14615.0,1105.0,10290.0,314.0,5998.0,3481.0,497.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3499.0,3644.0,987.0,3610.0,1936.0,610.0,303.0,0.0,0.0,303.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18366.0,9821.0,5218.0,17485.0,5484.0,0.0,4104.0,0.0,4104.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,8088.0,4752.0,4396.0,6035.0,2234.0,175.0,2166.0,1149.0,1017.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,13821.0,9027.0,4584.0,10612.0,4950.0,2702.0,15823.0,14940.0,627.0,256.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,11556.0,12682.0,8906.0,9610.0,4644.0,1079.0,11085.0,254.0,4972.0,3074.0,2785.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,5004.0,1702.0,1783.0,3119.0,1040.0,764.0,1444.0,409.0,1035.0,0.0,0.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3665.0,6537.0,2173.0,5579.0,2449.0,0.0,8752.0,505.0,7231.0,1016.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,30964.0,58958.0,18037.0,37227.0,33825.0,833.0,60384.0,13748.0,40149.0,6216.0,271.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9036.0,6876.0,1991.0,6477.0,5956.0,1488.0,7276.0,3614.0,1527.0,2135.0,0.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,62154.0,157361.0,29147.0,90366.0,90708.0,9294.0,46759.0,6972.0,25000.0,13976.0,811.0
