,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
0,4829,1880 BANK,Cambridge,MD,21613,1,www.1880bank.com,30492.0,22499.0,7541.0,14432.0,15683.0,15335.0,18996.0,4443.0,10742.0,3204.0,607.0
1,57899,1ST ADVANTAGE BANK,Saint Peters,MO,63376,1,www.1stadvantagebank.com,15032.0,15936.0,8443.0,19129.0,3005.0,391.0,13273.0,3318.0,8510.0,1195.0,250.0
2,22039,1ST BANK,Broadus,MT,59317,1,www.our1stbank.com,3390.0,3322.0,1972.0,3413.0,1118.0,208.0,1498.0,0.0,0.0,1498.0,0.0
3,16419,1ST BANK & TRUST,Broken Bow,OK,74728,1,,18914.0,10202.0,6895.0,16955.0,5266.0,0.0,5161.0,2106.0,3054.0,0.0,0.0
4,4122,1ST BANK IN HOMINY,Hominy,OK,74035,1,http://www.1stbankhominy.com,7516.0,5214.0,3387.0,7196.0,2012.0,135.0,2193.0,0.0,2193.0,0.0,0.0
5,30367,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,1,www.1stbankseaisle.com,11545.0,6856.0,5271.0,6868.0,4649.0,1613.0,8465.0,8465.0,0.0,0.0,0.0
6,57298,1ST BANK YUMA,Yuma,AZ,85364,1,http://www.1stbankyuma.com,10624.0,11876.0,6501.0,9887.0,5135.0,977.0,12625.0,667.0,6226.0,2802.0,2930.0
7,32487,1ST CAMERON STATE BANK,Cameron,MO,64429,1,www.1stcameron.com,4703.0,1905.0,1825.0,3104.0,668.0,1011.0,1181.0,911.0,0.0,0.0,270.0
8,58485,1ST CAPITAL BANK,Salinas,CA,93901,1,www.1stcapital.bank,3300.0,7029.0,1429.0,8228.0,673.0,0.0,9066.0,2112.0,6697.0,257.0,0.0
9,35456,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,1,http://www.1stcolonial.com,44230.0,44801.0,15338.0,43361.0,29380.0,952.0,69751.0,36842.0,25084.0,7573.0,252.0
10,11706,1ST COMMUNITY BANK,Sherrard,IL,61281,1,http://www.1stcommunitybanks.com,9144.0,6957.0,2823.0,6176.0,6158.0,944.0,7708.0,4005.0,622.0,3081.0,0.0
11,27552,1ST CONSTITUTION BANK,Cranbury,NJ,8512,1,www.1stconstitution.com,97965.0,188327.0,57731.0,153318.0,69893.0,5350.0,51091.0,12836.0,27954.0,9729.0,572.0
12,34393,1ST EQUITY BANK,Skokie,IL,60076,1,www.1stequitybank.net,9525.0,24345.0,6020.0,19444.0,6521.0,1884.0,5091.0,1093.0,3698.0,300.0,0.0
13,57611,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,1,,7711.0,15295.0,5545.0,12993.0,3820.0,648.0,4332.0,1050.0,3282.0,0.0,0.0
14,31410,"1ST FEDERAL SAVINGS BANK OF SC, INC.",Walterboro,SC,29488,1,www.1stfederalofsc.com,14214.0,9687.0,4298.0,13167.0,6286.0,150.0,3800.0,1238.0,1806.0,756.0,0.0
15,1673,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,0,http://www.1fbusa.com,321509.0,95088.0,9482.0,80240.0,61695.0,265180.0,6575.0,1912.0,4351.0,312.0,0.0
16,6646,1ST NATIONAL BANK,Lebanon,OH,45036,1,WWW.BANKWITH1ST.COM,26078.0,34149.0,7057.0,24368.0,27361.0,1441.0,17296.0,0.0,13695.0,3601.0,0.0
17,57633,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,1,WWW.FSBWA.com,277988.0,181402.0,119005.0,178624.0,132682.0,29079.0,92110.0,27143.0,38477.0,23860.0,2630.0
18,9087,1ST SOURCE BANK,South Bend,IN,46601,1,www.1stsource.com,939172.0,373225.0,199371.0,756514.0,300401.0,56111.0,326862.0,125799.0,165655.0,31931.0,3477.0
19,57626,1ST STATE BANK,Saginaw,MI,48604,1,www.1ststatebk.com,7060.0,5701.0,1994.0,6662.0,3690.0,415.0,3815.0,788.0,3027.0,0.0,0.0
20,22543,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,1,www.1ststatebankmc.com,4884.0,2588.0,1190.0,3310.0,2348.0,624.0,269.0,0.0,269.0,0.0,0.0
21,8426,1ST SUMMIT BANK,Johnstown,PA,15904,1,http://www.1stsummit.bank,247587.0,111311.0,66986.0,123716.0,145978.0,22217.0,70710.0,24953.0,20324.0,22500.0,2933.0
22,57869,"1ST TRUST BANK, INC.",Hazard,KY,41701,1,https://www.1tbi.com,52347.0,49012.0,24887.0,55945.0,18439.0,2088.0,50117.0,10088.0,20071.0,19959.0,0.0
23,31249,1ST UNITED BANK,Faribault,MN,55021,1,www.1stunited.com,7400.0,2332.0,2505.0,6142.0,1086.0,0.0,730.0,405.0,325.0,0.0,0.0
24,9751,21ST CENTURY BANK,Loretto,MN,55357,1,http://www.21stcenturybank.com,174473.0,12768.0,63545.0,109056.0,12903.0,1737.0,2109.0,1505.0,605.0,0.0,0.0
25,16910,22ND STATE BANK,Louisville,AL,36048,1,www.22ndstatebank.com,19935.0,30910.0,9141.0,31531.0,9784.0,389.0,18048.0,10759.0,4896.0,2393.0,0.0
26,91005,5STAR BANK,Colorado Springs,CO,80914,1,http://www.5star.bank,10149.0,39689.0,7155.0,28515.0,9738.0,4430.0,10640.0,1581.0,6354.0,1225.0,1480.0
27,35029,AB&T,Albany,GA,31708,1,www.abtgold.com,6272.0,5080.0,2927.0,5704.0,2225.0,497.0,6069.0,2000.0,3294.0,776.0,0.0
28,32257,ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,1,www.abacusbank.com,28949.0,97735.0,17732.0,26536.0,61574.0,20842.0,8956.0,2543.0,4140.0,2273.0,0.0
29,30332,ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK),Abbeville,LA,70510,1,www.abbemae.com,5208.0,3093.0,2197.0,3605.0,2322.0,177.0,2620.0,538.0,1421.0,661.0,0.0
30,30619,"ABBEVILLE FIRST BANK, SSB",Abbeville,SC,29620,1,http://www.abbevillefirst.com,14686.0,12079.0,5869.0,14351.0,6543.0,2.0,1012.0,0.0,264.0,748.0,0.0
31,19795,ABBYBANK,Abbotsford,WI,54405,1,www.abbybank.com,87396.0,59109.0,30879.0,61715.0,47262.0,6649.0,42150.0,5809.0,22987.0,12636.0,718.0
32,26590,ABINGTON BANK,Abington,MA,2351,0,www.abingtonbank.com,57610.0,53059.0,23878.0,46076.0,34648.0,6067.0,50282.0,10674.0,23318.0,12760.0,3530.0
33,19600,"ACADEMY BANK, NATIONAL ASSOCIATION",Kansas City,MO,64154,0,www.academybank.com,290056.0,441180.0,77041.0,345027.0,293107.0,16061.0,131329.0,9587.0,67292.0,51632.0,2818.0
34,4061,ACB BANK,Cherokee,OK,73728,1,www.acbbank.net,5503.0,51897.0,12037.0,24375.0,19978.0,1010.0,4858.0,1495.0,2005.0,1358.0,0.0
35,58727,ACCESS BANK,Omaha,NE,68114,1,WWW.ACCESSBANK.COM,35176.0,20164.0,11287.0,20412.0,19769.0,3873.0,30123.0,7561.0,13058.0,7818.0,1686.0
36,58562,ACCESSBANK TEXAS,Denton,TX,76201,1,http://WWW.ACCESSBANKTX.COM,22519.0,55715.0,17403.0,41324.0,18835.0,672.0,45472.0,10067.0,24306.0,10013.0,1086.0
37,7506,ACNB BANK,Gettysburg,PA,17325,1,http://www.acnb.com,219173.0,120703.0,72051.0,180136.0,79645.0,8044.0,67977.0,15997.0,38306.0,9518.0,4157.0
38,18489,ADAMS BANK & TRUST,Ogallala,NE,69153,1,http://www.abtbank.com,72106.0,84453.0,31385.0,53799.0,61041.0,10334.0,41447.0,6508.0,19394.0,14490.0,1055.0
39,90140,ADAMS COMMUNITY BANK,Adams,MA,1220,1,www.adamscommunity.com,84711.0,32543.0,30449.0,52606.0,31250.0,2950.0,23204.0,5037.0,14562.0,2999.0,606.0
40,14311,ADAMS COUNTY BANK,Kenesaw,NE,68956,1,http://www.adamscountybank.net,16784.0,22546.0,13939.0,11609.0,12167.0,1615.0,5191.0,666.0,3070.0,1455.0,0.0
41,9812,ADAMS STATE BANK,Adams,NE,68301,1,www.adamsstate.com,6768.0,4120.0,2105.0,3795.0,4564.0,424.0,1223.0,0.0,0.0,871.0,352.0
