,cert,docket,fed_rssd,rssdhcr,name,city,state,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,Community_Banks,inst.webaddr,Total_Deposits,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,Transaction_Accounts,Demand_Deposit,Non-Transaction_Accounts,Money_Market_Deposit_Accounts,Other_Savings_Accounts,Time_Deposits,Time_and_Savings_Deposits,Non-Interest_Bearing,Interest-Bearing,Retail_Deposits,depins,irakeogh,bro,broins,DEPLSNB
1331,29846,4194,980773,5444935.0,EATON FEDERAL SAVINGS BANK,Charlotte,MI,48813,6/30/2020,8/17/2020,SA,236 S. Cochran Ave.,EATON FED MUTUAL HOLDING CO,7,0,0,8,0,Eaton,29620.0,"Lansing-East Lansing, MI",1/1/1936,4/30/2020,4/30/2020,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Grand Rapids,Chicago,Central,Central,0,1,eatonfed.com,297111,297111,285102,1,11581,427,0,0,116087,96044.0,181024,11910.0,97769.0,71346.0,201067.0,46421.0,250690.0,282935.0,276353,10302.0,603.0,603.0,0.0
1332,58049,0,3347603,1098620.0,"ECLIPSE BANK, INC.",Louisville,KY,40207,6/30/2020,8/17/2020,NM,3827 Shelbyville Rd.,GERMAN AMERICAN BCORP INC,1,0,0,4,0,Jefferson,31140.0,"Louisville-Jefferson County, KY-IN",10/14/2005,10/14/2005,3/30/2017,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Elizabethtown,St. louis,Central,Southeast,0,1,www.eclipsebank.com,167908,167908,153694,0,6175,8039,0,0,50143,19807.0,117765,35549.0,655.0,81561.0,148101.0,19807.0,148101.0,142351.0,142797,4261.0,15048.0,15048.0,7806.0
1333,29981,4476,633677,4553951.0,EDGEWATER BANK,Saint Joseph,MI,49085,6/30/2020,8/17/2020,NM,321 Main St.,EDGEWATER BCORP INC,5,0,0,4,0,Berrien,35660.0,"Niles-Benton Harbor, MI",1/1/1910,7/5/1938,6/26/2017,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Grand Rapids,Chicago,Central,Central,0,1,www.edgewaterbank.com,176485,176485,146339,0,30145,0,0,0,106541,34953.0,69943,21022.0,18315.0,30607.0,141531.0,34953.0,141532.0,167090.0,128862,4248.0,0.0,0.0,0.0
1334,34489,0,2594419,2591258.0,EDISON NATIONAL BANK,Fort Myers,FL,33907,6/30/2020,8/17/2020,N,13000 S. Cleveland Ave.,EDISON BANCSHARES INC,4,0,0,8,1,Lee,15980.0,"Cape Coral-Fort Myers, FL",8/29/1997,8/29/1997,3/31/2006,Stock,0,0,OCC,DIF,Atlanta,ATLANTA,South Florida,Atlanta,Southern,Southeast,0,1,www.edisonnationalbank.com,331631,331631,326223,0,5409,0,0,0,230347,126541.0,101285,52327.0,34510.0,14448.0,205091.0,126379.0,205252.0,326088.0,232630,2317.0,0.0,0.0,0.0
1335,9678,11668,845247,1098031.0,EDMONTON STATE BANK,Glasgow,KY,42141,6/30/2020,8/17/2020,NM,909 W. Main St.,EDMONTON BANCSHARES INC,13,0,0,4,1,Barren,,,3/17/1899,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Elizabethtown,St. louis,Central,Southeast,0,1,www.edmontonstatebank.com,523683,523683,488543,0,26076,9063,0,0,292690,222359.0,230992,9663.0,81057.0,140274.0,301323.0,177429.0,346254.0,510052.0,479014,34059.0,0.0,0.0,7573.0
1336,28390,1485,3529315,,EDWARD JONES TRUST COMPANY,Saint Louis,MO,63131,6/30/2020,8/17/2020,SA,12555 Manchester Rd.,,1,0,0,7,0,Saint Louis City,41180.0,"St. Louis, MO-IL",1/1/1896,9/17/1938,7/21/2011,Stock,0,1,OCC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,0,www.edwardjones.com,500,500,500,0,0,0,0,0,0,0.0,500,500.0,0.0,0.0,500.0,0.0,500.0,500.0,250,0.0,0.0,0.0,0.0
1337,57734,0,3320576,,EH NATIONAL BANK,Beverly Hills,CA,90211,6/30/2020,8/17/2020,N,8484 Wilshire Blvd. Ste 100,,1,0,0,4,0,Los Angeles,31080.0,"Los Angeles-Long Beach-Anaheim, CA",2/1/2005,2/1/2005,6/10/2019,Stock,0,0,OCC,DIF,San Francisco,SAN FRANCISCO,Los Angeles (West),San Francisco,Western,Western,0,1,http://www.ehnbank.com,208158,208158,179848,0,0,28310,0,0,44285,40399.0,163873,88817.0,4029.0,71027.0,167759.0,40399.0,167759.0,188319.0,130128,1858.0,0.0,0.0,28309.0
1338,30953,6164,961576,,"EL DORADO SAVINGS BANK, F.S.B.",Placerville,CA,95667,6/30/2020,8/17/2020,SA,4040 El Dorado Rd.,,35,0,1,5,0,El Dorado,40900.0,"Sacramento-Roseville-Arden-Arcade, CA",1/1/1956,12/16/1957,7/21/2011,Stock,0,1,OCC,DIF,San Francisco,SAN FRANCISCO,Sacramento,San Francisco,Western,Western,0,0,http://www.eldoradosavingsbank.com,2104657,2104657,2093768,0,10889,0,0,0,644751,73616.0,1459906,162812.0,881315.0,415779.0,2031041.0,73616.0,2031041.0,2028140.0,1889607,65107.0,0.0,0.0,0.0
1339,29065,2849,615776,,ELBERTON FEDERAL SAVINGS AND LOAN ASSOCIATION,Elberton,GA,30635,6/30/2020,8/17/2020,SA,6 Church St.,,1,0,0,5,0,Elbert,,,1/1/1922,11/19/1951,7/21/2011,Non-Stock,0,0,OCC,DIF,Atlanta,ATLANTA,Atlanta,Atlanta,Southern,Southeast,0,1,,17246,17246,15760,0,1486,0,0,0,0,0.0,17246,8910.0,1343.0,6993.0,17246.0,0.0,17246.0,16446.0,15713,0.0,0.0,0.0,0.0
1340,12985,11053,282824,3631012.0,ELDERTON STATE BANK,Elderton,PA,15736,6/30/2020,8/17/2020,NM,143 Main St.,KEYSTRONG FINANCIAL INC,3,0,0,2,0,Armstrong,38300.0,"Pittsburgh, PA",10/1/1919,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,New York,NEW YORK,Wexford,Cleveland,Northeastern,Northeast,0,1,http://www.eldertonbank.com,259572,259572,244245,0,15327,0,0,0,68265,34994.0,191307,0.0,97432.0,93874.0,224578.0,34994.0,224578.0,243750.0,209868,11398.0,6100.0,0.0,12332.0
