,cert,name_x,city_x,state_x,zip_x,cb_x,inst.webaddr_x,NTRCDSM_x,NTRTMMED_x,Quarter_Date_x,IDcd3less_x,IDcd3t12s_x,IDcd1t3s_x,NTRTMLGJ_x,name_y,city_y,state_y,zip_y,cb_y,inst.webaddr_y,NTRCDSM_y,NTRTMMED_y,Quarter_Date_y,IDcd3less_y,IDcd3t12s_y,IDcd1t3s_y,NTRTMLGJ_y
1609,14778,FIRST BANK & TRUST,Lubbock,TX,79424,0,https://www.firstbanklubbock.com,44899.0,93297.0,2020-06-30,40769.0,71341.0,24792.0,68527.0,FIRST BANK & TRUST,Lubbock,TX,79424,0,https://www.firstbanklubbock.com,47730.0,101518.0,2020-03-30,30821.0,83233.0,33928.0,71118.0
1610,5525,FIRST BANK & TRUST,Seymour,TX,76380,1,www.fbtseymour.com,8887.0,5913.0,2020-06-30,4153.0,10286.0,360.0,791.0,FIRST BANK & TRUST,Seymour,TX,76380,1,www.fbtseymour.com,8925.0,4758.0,2020-03-30,4056.0,9259.0,368.0,790.0
1611,3973,FIRST BANK & TRUST,Brookings,SD,57006,1,http://www.bankeasy.com,176421.0,146473.0,2020-06-30,64686.0,174213.0,73336.0,111821.0,FIRST BANK & TRUST,Brookings,SD,57006,1,http://www.bankeasy.com,179545.0,147122.0,2020-03-30,48489.0,190113.0,77244.0,130718.0
1612,27394,FIRST BANK & TRUST CO.,Duncan,OK,73533,1,www.fb247.com,25964.0,23238.0,2020-06-30,10747.0,25219.0,10448.0,40920.0,FIRST BANK & TRUST CO.,Duncan,OK,73533,1,www.fb247.com,26253.0,23619.0,2020-03-30,7980.0,25904.0,13368.0,34140.0
1613,13946,FIRST BANK & TRUST COMPANY,Perry,OK,73077,1,www.fbt.bank,16433.0,19968.0,2020-06-30,12392.0,19268.0,3419.0,13375.0,FIRST BANK & TRUST COMPANY,Perry,OK,73077,1,www.fbt.bank,16687.0,16348.0,2020-03-30,8395.0,19172.0,4322.0,15034.0
1614,33405,FIRST BANK AND TRUST,New Orleans,LA,70112,1,fbtonline.com,110885.0,218365.0,2020-06-30,80250.0,176318.0,47777.0,88101.0,FIRST BANK AND TRUST,New Orleans,LA,70112,1,fbtonline.com,117886.0,210245.0,2020-03-30,66644.0,199012.0,38460.0,92299.0
1615,15348,FIRST BANK AND TRUST COMPANY,Clinton,OK,73601,1,http://www.fbtok.com,3846.0,3523.0,2020-06-30,1638.0,5417.0,307.0,2957.0,FIRST BANK AND TRUST COMPANY,Clinton,OK,73601,1,http://www.fbtok.com,3867.0,3463.0,2020-03-30,2052.0,4584.0,688.0,2963.0
1616,5438,FIRST BANK AND TRUST COMPANY,Minden,NE,68959,1,www.firstofminden.com,7736.0,7221.0,2020-06-30,1663.0,6376.0,6918.0,1096.0,FIRST BANK AND TRUST COMPANY,Minden,NE,68959,1,www.firstofminden.com,7777.0,7360.0,2020-03-30,1600.0,6005.0,7428.0,842.0
1617,18641,FIRST BANK AND TRUST COMPANY OF ILLINOIS,Palatine,IL,60067,1,www.firstbankillinois.com,36973.0,51873.0,2020-06-30,18793.0,40873.0,21502.0,10819.0,FIRST BANK AND TRUST COMPANY OF ILLINOIS,Palatine,IL,60067,1,www.firstbankillinois.com,38711.0,52371.0,2020-03-30,22480.0,47053.0,13649.0,10301.0
1618,3134,FIRST BANK AND TRUST OF CHILDRESS,Childress,TX,79201,1,http://www.fbtchildress.net,8534.0,13160.0,2020-06-30,2907.0,9339.0,5271.0,46671.0,FIRST BANK AND TRUST OF CHILDRESS,Childress,TX,79201,1,http://www.fbtchildress.net,8664.0,13498.0,2020-03-30,5183.0,6360.0,6138.0,45657.0
